gene,control_rep1,control_rep2,control_rep3,exp_rep1,exp_rep2,exp_rep3
ENSG00000227232.6,8.231564153530112,8.330976994956014,8.399726919201333,8.277502748838668,8.4313151178589,8.512128759864934
ENSG00000243485.5,6.65520358258135,6.602628504751505,6.636267202790767,6.7414725739592996,6.739157395346442,6.589490092927833
ENSG00000238009.7,6.5905471491588665,6.672262247450304,6.577139129563083,6.651677153434337,6.434192104978952,6.7029173506167385
ENSG00000233750.3,6.704742919328949,6.809978056063979,6.8845840023532965,6.810179103901411,6.890586727131908,6.7443404755805
ENSG00000268903.1,7.5748737047140855,7.537645434481085,7.622181742144631,7.538211761270462,7.673840504389955,7.5771098604996485
ENSG00000269981.1,7.393344574068053,7.215109108610899,7.406459466810981,7.2241350668010504,7.394546744098019,7.444074899123876
ENSG00000241860.7,7.34447856914211,7.1023334286225905,7.113723407696929,7.342691261910363,7.348079063636325,7.155422104815826
ENSG00000279457.4,7.923632850004339,7.811348900267966,7.926740065490397,7.9085056947991,8.03174407423558,8.006806341641086
ENSG00000292994.1,7.292454067564854,7.248956372187187,7.256859123552207,7.148861877717855,7.272900484521617,7.231354039175439
ENSG00000290385.1,7.292454067564854,7.342218241675176,7.335161611582343,7.401603278031307,7.622452490016117,7.2019646700090725
ENSG00000293331.1,7.015563771998122,6.809978056063979,7.036528748049468,7.132747618371328,6.9817086314016095,6.898307126458333
ENSG00000225972.1,10.706605777696712,10.418671610408934,10.597733229195248,10.74907848635495,10.813510139968178,11.13298807733985
ENSG00000225630.1,9.916408007837186,10.04550130057692,9.979058222384829,10.210111562677852,10.239699212962902,10.424245261840964
ENSG00000237973.1,9.075000995832474,9.204101980179034,9.28144908653048,9.277589744588044,9.355481872788973,9.490243526445738
ENSG00000229344.1,7.20707447316227,7.356740136220093,7.376654224092597,7.37854003391817,7.520505146941269,7.77510082590816
ENSG00000248527.1,12.18925585000768,12.00206807312176,12.012106755591953,12.072407688588099,12.18419574281658,12.544932428646561
ENSG00000198744.5,7.640389633038563,7.513952569891181,7.574803090173859,7.5575129996509265,7.79196423103793,8.006806341641086
ENSG00000229376.3,6.434192104978952,6.672262247450304,6.681581697197659,6.7414725739592996,6.5868875240769995,6.589490092927833
ENSG00000291215.1,8.010171659276908,8.106552959728317,7.966393712931017,8.090103993375285,8.199258875382482,7.835929028494799
ENSG00000237491.10,7.127096376391571,7.122520372459185,7.142096511517621,7.2241350668010504,7.2039879299353355,7.171291420089327
ENSG00000290784.1,6.704742919328949,6.770494319295615,6.681581697197659,6.777580705821339,6.807351487360714,6.7443404755805
ENSG00000177757.2,6.65520358258135,6.602628504751505,6.753311163877118,6.810179103901411,6.739157395346442,6.7443404755805
ENSG00000225880.6,7.53531419859037,7.327429362295973,7.345735340671227,7.279115583074305,7.4597760130287165,7.507893470291244
