gene_name,padj
RPS4Y1,0
ENSG00000289575,8.494743667360862e-180
PNPO,8.797792938718675e-179
PCDHGA10,2.4186065546070086e-111
YPEL3-DT,1.9946143347150734e-87
LINC02506,9.491456176545947e-60
ENSG00000289456,9.591899821963137e-46
ENSG00000286339,2.7637088999093905e-45
ENSG00000282914,1.8789637360498767e-42
SVIL-AS1,3.105279761027597e-41
